Türkiye'de en fazla pirinç tarımının yapıldığı akarsu havzasının ismi nedir	akarsu havzasının ismi	ENTITY	RIVER	Ergene/Meriç		ENTITY
Türkiye'de güneyden esen rüzgârın ismi nedir	rüzgârın ismi	ENTITY	WIND	Kıble		ENTITY
Türkiye'de heyelan set göllerinin en fazla görüldüğü bölge neresidir	bölge neresidir	LOCATION	REGION.LOCAL	Karadeniz Bölgesi		LOCATION
Türkiye'deki denizlerden en az tuzluluk oranına sahip olan deniz hangisidir	deniz	ENTITY	SEA	Karadeniz		ENTITY
Türkiye'deki su kaynaklarının en bol olduğu bölge hangisidir	bölge	LOCATION	REGION.LOCAL	Doğu Anadolu		LOCATION
Türkiye'de tarım alanları ülke arazisinin yüzde kaçını oluşturur	ülke arazisinin yüzde kaçını	NUMERIC	PERCENTAGE	0.33		NUMERIC
Türkiye'de üzerinde ulaşım ve taşımacılık yapılan akarsu hangisidir	akarsu	ENTITY	RIVER	Bartın çayı/Kocaırmak		ENTITY
Türkiye'nin doğusundan esen soğuk ve kuru rüzgâr hangisidir	rüzgâr	ENTITY	WIND	Gündoğusu		ENTITY
Türkiye'nin en büyük baraj gölü hangisidir	baraj gölü	ENTITY	OTHERS	Atatürk		ENTITY
Türkiye'nin en büyük ovasının adı nedir	ovasının adı	ENTITY	PLAIN	Konya Ovası		ENTITY
Türkiye'nin en geniş kapalı havzası hangi bölgemizdedir	hangi bölgemizdedir	LOCATION	REGION.LOCAL	İç Anadolu		LOCATION
Türkiye'nin en geniş yüz ölçümüne sahip şehri neresidir	şehri neresidir	LOCATION	CITY	Konya		LOCATION
Türkiye'nin en yüksek dağı hangisidir	dağı	ENTITY	MOUNTAIN	Ağrı Dağı		ENTITY
Türkiye'nin kuzeybatısından esen yerel rüzgârın adı nedir	rüzgârın adı	ENTITY	WIND	Karayel		ENTITY
Türkiye'nin nüfusu ne kadardır	nüfusu ne kadardır	NUMERIC	SIZE.POPULATION	Yaklaşık 76 Milyon		NUMERIC
Türkiye'ye batıdan esen sıcak nemli rüzgâr hangisidir	rüzgâr	ENTITY	WIND	Günbatısı		ENTITY
Türkiye'ye kuzeyden esen rüzgâra ne denir	rüzgâra denir	ENTITY	WIND	Yıldız		DESCRIPTION
Türkiye'ye kuzeydoğudan esip genellikle soğuk getiren rüzgâr hangisidir	rüzgâr	ENTITY	WIND	Poyraz		ENTITY
Ülke sınırlarını gösteren haritalar hangileridir	haritalar	DESCRIPTION	DEFINITION	Siyası Haritalar.		ENTITY
Ülkemizde cumhuriyet öncesi ilk nüfus sayımı hangi tarihte yapılmıştır	hangi tarihte	TEMPORAL	DATE	1831		TEMPORAL
Ülkemize çölden esen rüzgâr hangisidir	rüzgâr	ENTITY	WIND	Sam Yeli		ENTITY
Umit Burnu hangi kıtadadır	hangi kıtadadır	LOCATION	CONTINENT	Afrika		LOCATION
Ümit Burnuna ilk kez ulaşan denizci kimdir	denizci kimdir	HUMAN	INDIVIDUAL	Vasco da Gama		HUMAN
Volkan konisinin tepe kısmındaki çukur kısıma ne denilmektedir	kısıma denilmektedir	DESCRIPTION	DEFINITION	Volkan ağzı/krater		ENTITY
Volkanlardan çıkan akışkan maddelere ne ad verilir	akışkan maddelere ad	DESCRIPTION	DEFINITION	Lav		DESCRIPTION
Volkanlardan çıkan katı maddelere ne ad verilir	katı maddelere ad	DESCRIPTION	DEFINITION	Volkan tüfü		DESCRIPTION
Yer şekillerini gösteren haritaların adı nedir	haritaların adı	DESCRIPTION	DEFINITION	Fiziki Haritalar		ENTITY
Yerkürenin en ince tabakası hangisidir	Yerkürenin tabakası	ENTITY	OTHERS	Litosfer/Taşküre		ENTITY
Yerkürenin en kalın katmanı hangisidir	Yerkürenin katmanı	ENTITY	OTHERS	Çekirdek		ENTITY
Yerkürenin hemen üzerinde yer alan atmosfer tabakasının adı nedir	Yerkürenin atmosfer tabakasının adı	ENTITY	OTHERS	Troposfer		ENTITY
Yeryüzündeki kayaçlar kaç ana grupta sınıflandırılır	kaç ana grupta	NUMERIC	COUNT	3		NUMERIC
Yükselim yağışları Türkiye'de en çok hangi bölgede görülür	hangi bölgede	LOCATION	REGION.LOCAL	İç Anadolu		LOCATION
Yüzeye çıkan lav ve tüfün oluşturduğu yer şeklinin adı nedir	yer şeklinin adı	DESCRIPTION	DEFINITION	Volkan Konisi		ENTITY
Zorunlu göçler üzerinde etkili olan faktörlere ne isim verilir	faktörlere isim	DESCRIPTION	DEFINITION	İtici faktörler		DESCRIPTION
Yeryüzündeki büyük kara parçalarına ne ad verilir	kara parçalarına ad	DESCRIPTION	DEFINITION	Kıta		DESCRIPTION
Türkiye hangi kıtalar arasında yer almaktadır	hangi kıtalar	LOCATION	CONTINENT	Asya Avrupa		LOCATION
Bir yerin deniz seviyesinden yüksekliği neyle ifade edilir	yüksekliği neyle ifade edilir	DESCRIPTION	DEFINITION	Rakım		ENTITY
Canlı cansız varlıkların bütünü neyi ifade eder	neyi ifade	DESCRIPTION	DEFINITION	Doğa		ENTITY
Karınca yuvalarının açık önü hangi yönü gösterir	hangi yönü	ENTITY	OTHERS	Kuzey		ENTITY
Ağaçların ve taşların yosun tutan tarafı hangi yönü gösterir	hangi yönü	ENTITY	OTHERS	Kuzey		ENTITY
Bir yerin tepeden görünümüne ne ad verilir	görünümüne ad	DESCRIPTION	DEFINITION	Kuş bakışı		DESCRIPTION
Bir yerin kuş bakışı taslak çizimine ne denir	taslak çizimine denir	DESCRIPTION	DEFINITION	Kroki		DESCRIPTION
Hava sıcaklığını ölçen araca ne ad verilir	araca ad	DESCRIPTION	DEFINITION	Termometre		DESCRIPTION
Yüksekliği 500m'den fazla olan yerlere ne ad verilir	yerlere ad	ENTITY	ENTITY	Dağ		DESCRIPTION
Üç tarafı sularla kaplı kara parçasına ne ad verilir	kara parçasına ad	ENTITY	ENTITY	Yarımada		DESCRIPTION
Çevresine göre daha alçakta bulunan ve tarıma elverişli geniş düz kara parçasına ne ad verilir	kara parçasına ad	ENTITY	ENTITY	Ova		DESCRIPTION
Karaların denizlere doğru olan dar uzantısına ne ad verilir	Karaların uzantısına ad	ENTITY	ENTITY	Burun		DESCRIPTION
Dağlar haritada hangi renkle gösterilir	hangi renkle	ENTITY	OTHERS	Kahverengi		ENTITY
Deniz ve göller haritada hangi renkle gösterilir	hangi renkle	ENTITY	OTHERS	Mavi		ENTITY
Haritada ovalar hangi renkte gösterilir	hangi renkte	ENTITY	OTHERS	Sarı		ENTITY
Denizlerle bağlantısı olmayan su birikintilerine ne ad verilir	su birikintilerine ad	ENTITY	ENTITY	göl		DESCRIPTION
Atatürk Barajı hangi nehir üzerinde kurulmuştur	hangi nehir	ENTITY	RIVER	Fırat		ENTITY
Dünyanın yıllık hareketi sırasında güneş çevresinde izlediği yörüngeye ne ad verilir	yörüngeye ad	ENTITY	OTHERS			DESCRIPTION
Türkiye'de en uzun gündüz hangi tarihlerde yaşanır	hangi tarihlerde	TEMPORAL	PERIOD			TEMPORAL
Cebelitarık boğazı hangi deniz ve okyanusu birbirine bağlar	hangi deniz ve okyanusu	ENTITY	SEA	Akdeniz ve Atlas Okyanusu		ENTITY
Bir yerin enlem ve boylamlar yardımıyla belirtilen konumuna ne ad verilir	konumuna ad	DESCRIPTION	DEFINITION			DESCRIPTION
Yeryüzündeki bir noktanın ekvatora en yakın uzaklığının açı olarak değerine ne denir	değerine denir	DESCRIPTION	DEFINITION			DESCRIPTION
Dünya üzerindeki bir noktanın başlangıç meridyenine en yakin uzaklığının açı cinsinden değerine ne ad verilir	açı cinsinden değerine ad	DESCRIPTION	DEFINITION			DESCRIPTION
Bakü-Ceyhan petrol boru hattı Türkiye ile hangi Türk devleti arasındadır	hangi Türk devleti	LOCATION	COUNTRY			ENTITY
Türkiye'de maden yatakları ve çeşitleri bakımından en zengin bölge hangisidir	bölge	LOCATION	REGION.LOCAL			LOCATION
Türkiye'nin en yüksek bölgesi hangisidir	bölgesi	LOCATION	REGION.LOCAL			LOCATION
Ülkemizde en çok nüfusu olan il hangisidir	il	LOCATION	CITY	İstanbul		ENTITY
İç Anadolu Bölgesi'nde hangi iklim türü hâkimdir	hangi iklim türü	ENTITY	OTHERS			HUMAN
Fiziki haritada tarım alanlarına uygun yerler hangi renkle gösterilir	hangi renkle	ENTITY	OTHERS			ENTITY
Çevresine göre çukurda kalmış akarsuların derine gömülmeden aktıkları dar veya geniş düzlüklere ne ad verilir	dar veya geniş düzlüklere ad	DESCRIPTION	DEFINITION			DESCRIPTION
Gerçek ölçülerin küçültülerek çizilmesine ne denir	çizilmesine denir	DESCRIPTION	DEFINITION			DESCRIPTION
Uzun yıllar devam eden atmosfer olaylarının ortalama durumunu inceleyen bilim dalı hangisidir	bilim dalı	DESCRIPTION	DEFINITION			ENTITY
Okyanus deniz göl akarsu kaynak suları ve yer altı sularının bütününe ne ad verilir	bütününe ad	ENTITY	OTHERS			DESCRIPTION
Geçtiği kıyılarda havanın soğumasına neden olan sulara ne denir	sulara denir	DESCRIPTION	DEFINITION			DESCRIPTION
Yeryüzünde en soğuk ay ortalaması 10 C'nin üzerinde olan iklim kuşağına ne isim verilir	iklim kuşağına isim	ENTITY	OTHERS			DESCRIPTION
Yer kürede hangi yönden esen rüzgarlar sıcaklığı yükseltir	hangi yönden	ENTITY	OTHERS			ENTITY
Gulf Stream sıcak su akıntısı hangi yönde hareket eder	hangi yönde	ENTITY	OTHERS			ENTITY
Gulf Stream sıcak su akıntısı nereleri etkiler	nereleri	ENTITY	REGION			LOCATION
Alize rüzgarlarının da etkisiyle oluşan sıcak okyanus akıntısının adı nedir	okyanus akıntısının adı	ENTITY	STREAM			ENTITY
Alize rüzgarlarının da etkisiyle oluşan sıcak okyanus akıntısına ne isim verilir	okyanus akıntısına isim	ENTITY	STREAM			DESCRIPTION
Yeryüzünde en çok ısınan alanlar nerelerdir	alanlar nerelerdir	LOCATION	REGION			LOCATION
Denizlerde güneş ışınları kaç metreye kadar etkilidir	kaç metreye kadar	NUMERIC	SIZE.DEPTH			NUMERIC
Rüzgarın hızı neyle ölçülür	hızı neyle ölçülür	ENTITY	INSTRUMENT			ENTITY
Kuzey Amerika'nın doğu kıyılarının batı kıyılarına göre daha soğuk olmasına sebep olan nedir	sebep olan	DESCRIPTION	REASON			ENTITY
Güneş ışınlarını dik açıyla alan Ekvator çevresinin Dünya'nın en sıcak yeri olmamasının sebebi nedir	sebebi	DESCRIPTION	REASON			DESCRIPTION
Günün en soğuk anı ne zamandır	ne zamandır	TEMPORAL	PERIOD			TEMPORAL
Neden ve sonuç bakımından karmaşık coğrafya olaylarını incelerken hangi coğrafya ilkesine başvurulur	hangi coğrafya ilkesine	ENTITY	OTHERS			ENTITY
Dağ zirvelerinde nem miktarı ne kadardır	nem miktarı ne kadardır	DESCRIPTION	QUANTITY			NUMERIC
Karalarda güneş ışınlarının etkili olduğu derinlik ne kadardır	derinlik ne kadardır	NUMERIC	SIZE.DEPTH			NUMERIC
Yeryüzünde soğuk kuşak olarak adlandırılan iklim kuşağında en sıcak ayın ortalama sıcaklığı ne kadardır	ortalama sıcaklığı ne kadardır	NUMERIC	AVERAGE			NUMERIC
Muson ikliminde yıllık sıcaklık farkı ne kadardır	sıcaklık farkı ne kadardır	NUMERIC	DEGREE			NUMERIC
Ekvatoral iklimde yıllık yağış miktarı ne kadardır	yağış miktarı ne kadardır	NUMERIC	SIZE.VOLUME			NUMERIC
Karasal iklimde yıllık yağış miktarı kaç mm'dir	kaç mmdir	NUMERIC	SIZE.VOLUME			NUMERIC
Çöl ikliminde günlük sıcaklık farkı kaç dereceyi bulur	kaç dereceyi	NUMERIC	DEGREE			NUMERIC
Yüksek bulutlara ne denir	bulutlara denir	ENTITY	CLOUD			DESCRIPTION
Kümülüs bulutları kaç metre aralığında bulunur	kaç metre	NUMERIC	RANGE			NUMERIC
Sirüs bulutları kaç metre yükseklikte bululur	kaç metre	NUMERIC	SIZE.HEIGHT			NUMERIC
Alize rüzgarları neye sebep olur	neye sebep olur	DESCRIPTION	EFFECT			DESCRIPTION
Sıcaklık ve nem bakımından farklı özellikteki hava kütlelerinin karşılaşma alanlarında ne meydana gelir	ne meydana gelir	ENTITY	OTHERS			ENTITY
İnsanların barınma ihtiyacı için ürettikleri barınaklar neye göre farklılık gösterir	neye göre	DESCRIPTION	REASON			DESCRIPTION
Güneş ışınlarının kırılma ve yansıma miktarı neye göre artar	neye göre	DESCRIPTION	REASON			DESCRIPTION
Bulutlar neye göre sınıflandırılır	neye göre	DESCRIPTION	MANNER			DESCRIPTION
Yeryüzünde kaç farklı sıcaklık kuşağı oluşmuştur	kaç farklı	NUMERIC	COUNT			NUMERIC
Su küre taş küre ve hava kürenin her birine yayılmış olan küre hangisidir	küre	ENTITY	OTHERS			ENTITY
Canlılar küresi hangi kürelere yayılmış durumdadır	hangi kürelere	ENTITY	OTHERS			ENTITY
Biyosfer hangi kürelere yayılmıştır	hangi kürelere	ENTITY	OTHERS			ENTITY
Doğal çevreyi kaç temel unsur oluşturur	kaç temel unsur	NUMERIC	COUNT			NUMERIC
Eş sıcaklık eğrilerine ne denir	Eş sıcaklık eğrilerine denir	ENTITY	ENTITY			DESCRIPTION
Doğal çevreyi oluşturan dört temel unsur hangileridir	dört temel unsur	DESCRIPTION	DESCRIPTION			ENTITY
Doğal çevreyi oluşturan temel unsurlar hangileridir	temel unsurlar	DESCRIPTION	DESCRIPTION			ENTITY
Genel olarak Ekvator'dan kutuplara gidildikçe sıcaklık nasıl değişir	nasıl değişir	DESCRIPTION	EFFECT			ENTITY
Yer Yuvarlağını meydana getiren iç içe geçmiş kürelere ne isim verilir	kürelere isim	ENTITY	ENTITY			DESCRIPTION
Yer kabuğunun ortalama kalınlığı karalarda kaç km. aralığındadır	kaç km	NUMERIC	RANGE			NUMERIC
Yer kabuğunun ortalama kalınlığı denizlerde ne kadardır	ortalama kalınlığı ne kadardır	NUMERIC	SIZE.WIDTH			NUMERIC
Granitik kabuğun bileşiminde en çok hangi elementler bulunur	hangi elementler	ENTITY	SUBSTANCE			ENTITY
Bazaltik kabuğun bileşiminde en çok bulunan elementler hangileridir	elementler	ENTITY	SUBSTANCE			ENTITY
Bazaltik kabuğun yoğunluğu ne kadardır	yoğunluğu ne kadardır	NUMERIC	SIZE.DENSITY			NUMERIC
Granitik kabuk hangi taşlardan meydana gelir	hangi taşlardan	ENTITY	SUBSTANCE			ENTITY
Astenosfer adı verilen manto katmanın derinliği kaç km. aralığında yer alır	kaç km	NUMERIC	RANGE			NUMERIC
Sıvı haldeki astenosfer malzemesine ne denir	astenosfer malzemesine denir	ENTITY	SUBSTANCE			DESCRIPTION
Manto Yer Yuvarlağı hacminin yüzde kaçını kaplamaktadır	Yer Yuvarlağı hacminin yüzde kaçını	NUMERIC	PERCENTAGE			NUMERIC
Dış çekirdek neyden oluşur	neden oluşur	ENTITY	SUBSTANCE			ENTITY
İç çekirdeğin sıcaklığı kaç dereceyi bulur	kaç dereceyi	NUMERIC	DEGREE			NUMERIC
Yer kabuğunun ana maddesi olan ve minerallerden meydana gelen katı cisimlere ne ad verilir	katı cisimlere ad	DESCRIPTION	DEFINITION			DESCRIPTION
Direnci düşük kayaçların bulunduğu arazilerde ne tür yer şekileri meydana gelir	ne tür yer şekilleri	ENTITY	ENTITY			ENTITY
Ülkemizde volkanik tüflerin aşınmasıyla oluşmuş yer şekilleri nerede bulunur	nerede bulunur	LOCATION	LOCATION			LOCATION
Tortul kayaçların bir diğer adı nedir	kayaçların adı	ENTITY	OTHERS			ENTITY
Püskürük ve tortul kayaçların aşırı sıcaklık ve basınç altında kalarak değişime uğramasıyla oluşan kayaçlara ne isim verilir	kayaçlara isim	ENTITY	ENTITY			DESCRIPTION
Kayaların başkalaşıma uğramasına ne sebep olur	sebep olur	DESCRIPTION	REASON			ENTITY
Yeryüzü şekillerinin oluşmasına sebep olan nedir	sebep	DESCRIPTION	REASON			ENTITY
Tektonik hareketlere neden olan enerji kaynağı nedir	enerji kaynağı	ENTITY	OTHERS			ENTITY
Mantonun içerisindeki konveksiyon akıntıları hangi yönde hareket eder	hangi yönde	ENTITY	OTHERS			ENTITY
Türkiye'deki Kuzey Anadolu Dağları ve Toros Dağları hangi jeolojik zamanda oluşmuştur	hangi jeolojik zamanda	TEMPORAL	ERA			TEMPORAL
Türkiye'deki Kuzey Anadolu Dağları ve Toros Dağları hangi orojenez sonucunda oluşmuştur	hangi orojenez	ENTITY	OTHERS			ENTITY
Epirojenik hareketler sırasında denizin çekilmesine ne denir	denizin çekilmesine denir	DESCRIPTION	DEFINITION			DESCRIPTION
Lav nedir	Lav	DESCRIPTION	DEFINITION			ENTITY
Volkanizma sonucu yüzeye sıvı halde lavlar çıkarken gaz halinde çıkan nedir	gaz halinde çıkan	ENTITY	SUBSTANCE			ENTITY
Volkanik kökenli adaların en fazla bulunduğu yer neresidir	yer neresidir	LOCATION	REGION			LOCATION
Volkan tüfü kaç cm uzunluğundadır	kaç cm	NUMERIC	SIZE.LENGTH			NUMERIC
Volkan tüfünün uzunluğu kaç cm.dir	kaç cmdir	NUMERIC	SIZE.LENGTH			NUMERIC
Ağrı Dağı hangi tür volkanlardandır	hangi tür volkanlardandır	ENTITY	ENTITY			ENTITY
Yeryüzünde kaç tane etkin volkan vardır	kaç tane etkin volkan	NUMERIC	COUNT			NUMERIC
Yeryüzündeki etkin volkanların yüzde kaçı Büyük Okyanus çevresindedir	volkanların yüzde kaçı	NUMERIC	PERCENTAGE			NUMERIC
Yeryüzündeki etkin volkanların kaçı Büyük Okyanus çevresindedir	volkanların kaçı	NUMERIC	COUNT			NUMERIC
Kaç çeşit deprem dalgası vardır	kaç çeşit	NUMERIC	COUNT			ENTITY
